Timestamp,num_ues,IMSI,RNTI,Unnamed: 4,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,Unnamed: 10,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,Unnamed: 18,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,Unnamed: 28,sum_requested_prbs,sum_granted_prbs,Unnamed: 31,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1617070531726,6,1010123456002,82,,1,2,5,1,0,,4.12121,33,0,0.009184,9,0,8.0,,11.2857,42,0,0.113376,12,0.0,0,34.0305,31,,17,30,,0,0,0,1.0
1617070531975,6,1010123456002,82,,1,2,5,1,0,,0.181818,22,0,0.00276305,6,0,5.66667,,11.5714,14,0,0.1,4,0.0,0,32.3918,31,,56,28,,0,0,0,1.0
1617070532225,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,7.0,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070532476,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,6.0,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070532726,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,9.0,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070532976,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,7.33333,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070533226,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,6.0,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070533476,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,6.0,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070533726,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,6.25,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
1617070533976,6,1010123456002,82,,1,2,5,1,0,,0.0,0,0,0.0,0,0,5.71429,,0.0,0,0,0.0,0,0.0,0,0.0,0,,0,0,,0,0,0,0.0
